Año,Región,Canal,Tipo,Métrica,A,B,C,D,E,AVG,AVG_otros,diferencia,diferencia_porcentaje
2013,North America,1 - Mayorista,a - Ingreso,1 - a - Wholesale Income ($000s),100980.0,80830.0,113855.5,190608.0,144522.0,126159.1,110046.875,80561.125,0.7320619054380235
2013,North America,1 - Mayorista,b - Precio,1 - b - Rebate Offer ($ per pair),5.0,4.0,3.0,4.0,5.0,4.2,4.25,-0.25,-0.058823529411764705
2013,North America,1 - Mayorista,b - Precio,1 - b - Wholesale Net Price ($ per pair),60.0,59.0,63.5,57.0,63.0,60.5,61.375,-4.375,-0.07128309572301425
2013,North America,1 - Mayorista,b - Precio,1 - b - Wholesale Price ($ per pair),65.0,63.0,66.5,61.0,68.0,64.7,65.625,-4.625,-0.07047619047619047
2013,North America,1 - Mayorista,c - Volumen,1 - c -   Gained / Lost (due to stockouts),15.0,11.0,16.0,-63.0,20.0,-0.2,15.5,-78.5,-5.064516129032258
2013,North America,1 - Mayorista,c - Volumen,1 - c - Pairs Demanded (000s),1668.0,1359.0,1777.0,3407.0,2274.0,2097.0,1769.5,1637.5,0.9254026561175474
2013,North America,1 - Mayorista,c - Volumen,1 - c - Pairs Sold (000s),1683.0,1370.0,1793.0,3344.0,2294.0,2096.8,1785.0,1559.0,0.8733893557422969
2013,North America,1 - Mayorista,d - Cuota,1 - d - Market Share (%),0.1605,0.1307,0.171,0.319,0.2188,0.2,0.17025,0.14875,0.8737151248164463
2013,North America,1 - Mayorista,e - Calidad,1 - e - Model Availability,199.9,297.8,249.8,200.0,250.0,239.5,249.375,-49.375,-0.19799498746867167
2013,North America,1 - Mayorista,e - Calidad,1 - e - S/Q Rating (1 to 10 stars),5.0,5.8,5.8,5.3,6.3,5.640000000000001,5.7250000000000005,-0.4250000000000007,-0.07423580786026213
2013,North America,1 - Mayorista,f - Marketing,1 - f - Delivery Time (weeks),2.0,3.0,2.0,2.0,2.0,2.2,2.25,-0.25,-0.1111111111111111
2013,North America,1 - Mayorista,f - Marketing,1 - f - Retail Outlets,2340.0,908.0,2878.0,4956.0,3610.0,2938.4,2434.0,2522.0,1.0361544782251437
2013,North America,1 - Mayorista,f - Marketing,1 - f - Retailer Support ($ per outlet),6000.0,3000.0,7500.0,7500.0,7500.0,6300.0,6000.0,1500.0,0.25
2013,North America,1 - Mayorista,g - Imagen,1 - g - Brand Advertising ($000s),18000.0,4000.0,14000.0,15000.0,13000.0,12800.0,12250.0,2750.0,0.22448979591836735
2013,North America,1 - Mayorista,g - Imagen,1 - g - Brand Reputation (prior-year image),69.0,66.0,78.0,75.0,83.0,74.2,74.0,1.0,0.013513513513513514
2013,North America,1 - Mayorista,g - Imagen,1 - g - Celebrity Appeal,85.0,110.0,60.0,175.0,60.0,98.0,78.75,96.25,1.2222222222222223
2013,North America,2 - Internet,a - Ingreso,2 - a - Retail Income ($000s),49780.0,30060.0,44454.0,59202.0,38800.0,44459.2,40773.5,18428.5,0.45197248212687163
2013,North America,2 - Internet,b - Precio,2 - b - Retail Price ($ per pair),95.0,90.0,93.0,99.0,97.0,94.8,93.75,5.25,0.056
2013,North America,2 - Internet,c - Volumen,2 - c - Online Orders (000s),524.0,334.0,478.0,598.0,400.0,466.8,434.0,164.0,0.3778801843317972
2013,North America,2 - Internet,c - Volumen,2 - c - Pairs Sold (000s),524.0,334.0,478.0,598.0,400.0,466.8,434.0,164.0,0.3778801843317972
2013,North America,2 - Internet,d - Cuota,2 - d - Market Share (%),0.2245,0.1431,0.2048,0.2562,0.1714,0.2,0.18595,0.07024999999999998,0.3777897284216186
2013,North America,2 - Internet,e - Calidad,2 - e - Model Availability,199.9,297.8,249.8,200.0,250.0,239.5,249.375,-49.375,-0.19799498746867167
2013,North America,2 - Internet,e - Calidad,2 - e - S/Q Rating (1 to 10 stars),5.0,5.8,5.8,5.3,6.3,5.640000000000001,5.7250000000000005,-0.4250000000000007,-0.07423580786026213
2013,North America,2 - Internet,f - Marketing,2 - f - Free Shipping,1.0,0.0,0.0,1.0,0.0,0.4,0.25,0.75,3.0
2013,North America,2 - Internet,g - Imagen,2 - g - Brand Advertising ($000s),18000.0,4000.0,14000.0,15000.0,13000.0,12800.0,12250.0,2750.0,0.22448979591836735
2013,North America,2 - Internet,g - Imagen,2 - g - Brand Reputation (prior-year image),69.0,66.0,78.0,75.0,83.0,74.2,74.0,1.0,0.013513513513513514
2013,North America,2 - Internet,g - Imagen,2 - g - Celebrity Appeal,85.0,110.0,60.0,175.0,60.0,98.0,78.75,96.25,1.2222222222222223
2013,North America,2 - Internet,g - Imagen,2 - g - Search Engine Advert. ($000s),9000.0,4000.0,10500.0,13000.0,7750.0,8850.0,7812.5,5187.5,0.664
2013,North America,3 - Privada,a - Ingreso,3 - a - Offer Income ($000s),0.0,12285.0,45864.0,0.0,0.0,11629.8,14537.25,-14537.25,-1.0
2013,North America,3 - Privada,b - Precio,3 - b - Offer Price (max = $40.00),0.0,45.0,42.0,0.0,0.0,17.4,21.75,-21.75,-1.0
2013,North America,3 - Privada,c - Volumen,3 - c - Pairs Offered (000s),0.0,524.0,1163.0,0.0,0.0,337.4,421.75,-421.75,-1.0
2013,North America,3 - Privada,c - Volumen,3 - c - Pairs Sold (000s),0.0,273.0,1092.0,0.0,0.0,273.0,341.25,-341.25,-1.0
