Año,Región,Canal,Tipo,Métrica,A,B,C,D,E,AVG,AVG_otros,diferencia,diferencia_porcentaje
2015,North America,1 - Mayorista,a - Ingreso,1 - a - Wholesale Income ($000s),109922.0,82432.0,155064.0,182520.0,206570.0,147301.6,138497.0,44023.0,0.31786248077575685
2015,North America,1 - Mayorista,b - Precio,1 - b - Rebate Offer ($ per pair),5.0,4.0,3.0,3.0,5.0,4.0,4.25,-1.25,-0.29411764705882354
2015,North America,1 - Mayorista,b - Precio,1 - b - Wholesale Net Price ($ per pair),61.0,64.0,71.0,65.0,65.0,65.2,65.25,-0.25,-0.0038314176245210726
2015,North America,1 - Mayorista,b - Precio,1 - b - Wholesale Price ($ per pair),66.0,68.0,74.0,68.0,70.0,69.2,69.5,-1.5,-0.02158273381294964
2015,North America,1 - Mayorista,c - Volumen,1 - c -   Gained / Lost (due to stockouts),-18.0,2.0,4.0,5.0,6.0,-0.2,-1.5,6.5,-4.333333333333333
2015,North America,1 - Mayorista,c - Volumen,1 - c - Pairs Demanded (000s),1820.0,1286.0,2180.0,2803.0,3172.0,2252.2,2114.5,688.5,0.32560889099077794
2015,North America,1 - Mayorista,c - Volumen,1 - c - Pairs Sold (000s),1802.0,1288.0,2184.0,2808.0,3178.0,2252.0,2113.0,695.0,0.3289162328442972
2015,North America,1 - Mayorista,d - Cuota,1 - d - Market Share (%),0.16,0.1144,0.194,0.2494,0.2822,0.2,0.18764999999999998,0.06175000000000003,0.32907007727151627
2015,North America,1 - Mayorista,e - Calidad,1 - e - Model Availability,308.1,335.1,349.0,250.0,250.0,298.44,310.55,-60.55000000000001,-0.1949766543229754
2015,North America,1 - Mayorista,e - Calidad,1 - e - S/Q Rating (1 to 10 stars),5.9,5.3,6.5,7.0,6.4,6.220000000000001,6.025,0.9749999999999996,0.16182572614107876
2015,North America,1 - Mayorista,f - Marketing,1 - f - Delivery Time (weeks),2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2015,North America,1 - Mayorista,f - Marketing,1 - f - Retail Outlets,1680.0,721.0,4449.0,4961.0,4811.0,3324.4,2915.25,2045.75,0.7017408455535545
2015,North America,1 - Mayorista,f - Marketing,1 - f - Retailer Support ($ per outlet),8000.0,6000.0,8000.0,7750.0,8250.0,7600.0,7562.5,187.5,0.024793388429752067
2015,North America,1 - Mayorista,g - Imagen,1 - g - Brand Advertising ($000s),15000.0,4000.0,14000.0,15000.0,16500.0,12900.0,12375.0,2625.0,0.21212121212121213
2015,North America,1 - Mayorista,g - Imagen,1 - g - Brand Reputation (prior-year image),64.0,71.0,74.0,83.0,91.0,76.6,75.0,8.0,0.10666666666666667
2015,North America,1 - Mayorista,g - Imagen,1 - g - Celebrity Appeal,60.0,135.0,0.0,85.0,210.0,98.0,101.25,-16.25,-0.16049382716049382
2015,North America,2 - Internet,a - Ingreso,2 - a - Retail Income ($000s),66048.0,38300.0,68848.0,62784.0,67945.0,60785.0,60285.25,2498.75,0.04144877893016949
2015,North America,2 - Internet,b - Precio,2 - b - Retail Price ($ per pair),96.0,100.0,104.0,109.0,107.0,103.2,101.75,7.25,0.07125307125307126
2015,North America,2 - Internet,c - Volumen,2 - c - Online Orders (000s),688.0,383.0,662.0,576.0,635.0,588.8,592.0,-16.0,-0.02702702702702703
2015,North America,2 - Internet,c - Volumen,2 - c - Pairs Sold (000s),688.0,383.0,662.0,576.0,635.0,588.8,592.0,-16.0,-0.02702702702702703
