Año,Región,Canal,Tipo,Métrica,A,B,C,D,E,AVG,AVG_otros,diferencia,diferencia_porcentaje
2015,North America,2 - Internet,d - Cuota,2 - d - Market Share (%),0.2337,0.1301,0.2249,0.1957,0.2157,0.20002,0.2011,-0.005399999999999988,-0.026852312282446486
2015,North America,2 - Internet,e - Calidad,2 - e - Model Availability,308.1,335.1,349.0,250.0,250.0,298.44,310.55,-60.55000000000001,-0.1949766543229754
2015,North America,2 - Internet,e - Calidad,2 - e - S/Q Rating (1 to 10 stars),5.9,5.3,6.5,7.0,6.4,6.220000000000001,6.025,0.9749999999999996,0.16182572614107876
2015,North America,2 - Internet,f - Marketing,2 - f - Free Shipping,1.0,0.0,1.0,1.0,0.0,0.6,0.5,0.5,1.0
2015,North America,2 - Internet,g - Imagen,2 - g - Brand Advertising ($000s),15000.0,4000.0,14000.0,15000.0,16500.0,12900.0,12375.0,2625.0,0.21212121212121213
2015,North America,2 - Internet,g - Imagen,2 - g - Brand Reputation (prior-year image),64.0,71.0,74.0,83.0,91.0,76.6,75.0,8.0,0.10666666666666667
2015,North America,2 - Internet,g - Imagen,2 - g - Celebrity Appeal,60.0,135.0,0.0,85.0,210.0,98.0,101.25,-16.25,-0.16049382716049382
2015,North America,2 - Internet,g - Imagen,2 - g - Search Engine Advert. ($000s),10000.0,10000.0,13250.0,13000.0,14000.0,12050.0,11812.5,1187.5,0.10052910052910052
2015,North America,3 - Privada,a - Ingreso,3 - a - Offer Income ($000s),0.0,20570.0,0.0,24772.0,17800.0,12628.4,9592.5,15179.5,1.582434193380245
2015,North America,3 - Privada,b - Precio,3 - b - Offer Price (max = $40.00),56.0,55.0,0.0,44.0,40.0,39.0,37.75,6.25,0.16556291390728478
2015,North America,3 - Privada,c - Volumen,3 - c - Pairs Offered (000s),94.0,374.0,0.0,563.0,445.0,295.2,228.25,334.75,1.4665936473165389
2015,North America,3 - Privada,c - Volumen,3 - c - Pairs Sold (000s),0.0,374.0,0.0,563.0,445.0,276.4,204.75,358.25,1.7496947496947497
2015,North America,3 - Privada,d - Cuota,3 - d - Market Share (%),0.0,0.223,0.0,0.335,0.265,0.16460000000000002,0.122,0.21300000000000002,1.7459016393442626
2015,North America,3 - Privada,e - Calidad,3 - e - S/Q Rating (min = 3.0 stars),4.9,4.9,0.0,4.9,4.9,3.9200000000000004,3.6750000000000003,1.225,0.3333333333333333
2015,Europe-Africa,1 - Mayorista,a - Ingreso,1 - a - Wholesale Income ($000s),122040.0,115056.0,168270.0,90045.0,191240.0,137330.2,149151.5,-59106.5,-0.39628498540075024
2015,Europe-Africa,1 - Mayorista,b - Precio,1 - b - Rebate Offer ($ per pair),4.0,6.0,3.0,3.0,5.0,4.2,4.5,-1.5,-0.3333333333333333
2015,Europe-Africa,1 - Mayorista,b - Precio,1 - b - Wholesale Net Price ($ per pair),72.0,68.0,71.0,69.0,70.0,70.0,70.25,-1.25,-0.017793594306049824
2015,Europe-Africa,1 - Mayorista,b - Precio,1 - b - Wholesale Price ($ per pair),76.0,74.0,74.0,72.0,75.0,74.2,74.75,-2.75,-0.03678929765886288
2015,Europe-Africa,1 - Mayorista,c - Volumen,1 - c -   Gained / Lost (due to stockouts),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2015,Europe-Africa,1 - Mayorista,c - Volumen,1 - c - Pairs Demanded (000s),1695.0,1692.0,2370.0,1305.0,2732.0,1958.8,2122.25,-817.25,-0.3850865826363529
2015,Europe-Africa,1 - Mayorista,c - Volumen,1 - c - Pairs Sold (000s),1695.0,1692.0,2370.0,1305.0,2732.0,1958.8,2122.25,-817.25,-0.3850865826363529
2015,Europe-Africa,1 - Mayorista,d - Cuota,1 - d - Market Share (%),0.1731,0.1728,0.242,0.1332,0.2789,0.2,0.2167,-0.08349999999999999,-0.3853253345639132
2015,Europe-Africa,1 - Mayorista,e - Calidad,1 - e - Model Availability,340.3,342.7,348.8,247.7,250.0,305.9,320.45,-72.75,-0.22702449680137307
2015,Europe-Africa,1 - Mayorista,e - Calidad,1 - e - S/Q Rating (1 to 10 stars),5.9,4.9,6.6,6.9,6.6,6.18,6.0,0.9000000000000004,0.15000000000000005
2015,Europe-Africa,1 - Mayorista,f - Marketing,1 - f - Delivery Time (weeks),2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2015,Europe-Africa,1 - Mayorista,f - Marketing,1 - f - Retail Outlets,3087.0,1988.0,4466.0,1817.0,4337.0,3139.0,3469.5,-1652.5,-0.4762934140366047
2015,Europe-Africa,1 - Mayorista,f - Marketing,1 - f - Retailer Support ($ per outlet),6500.0,6000.0,8000.0,7500.0,8500.0,7300.0,7250.0,250.0,0.034482758620689655
2015,Europe-Africa,1 - Mayorista,g - Imagen,1 - g - Brand Advertising ($000s),16000.0,14000.0,15000.0,14000.0,16000.0,15000.0,15250.0,-1250.0,-0.08196721311475409
2015,Europe-Africa,1 - Mayorista,g - Imagen,1 - g - Brand Reputation (prior-year image),64.0,71.0,74.0,83.0,91.0,76.6,75.0,8.0,0.10666666666666667
2015,Europe-Africa,1 - Mayorista,g - Imagen,1 - g - Celebrity Appeal,45.0,130.0,0.0,65.0,255.0,99.0,107.5,-42.5,-0.3953488372093023
2015,Europe-Africa,2 - Internet,a - Ingreso,2 - a - Retail Income ($000s),55212.0,55747.0,63856.0,39812.5,57090.0,54343.5,57976.25,-18163.75,-0.31329639291951444
2015,Europe-Africa,2 - Internet,b - Precio,2 - b - Retail Price ($ per pair),107.0,107.0,104.0,122.5,110.0,110.1,107.0,15.5,0.14485981308411214
2015,Europe-Africa,2 - Internet,c - Volumen,2 - c - Online Orders (000s),516.0,521.0,614.0,325.0,519.0,499.0,542.5,-217.5,-0.4009216589861751
2015,Europe-Africa,2 - Internet,c - Volumen,2 - c - Pairs Sold (000s),516.0,521.0,614.0,325.0,519.0,499.0,542.5,-217.5,-0.4009216589861751
2015,Europe-Africa,2 - Internet,d - Cuota,2 - d - Market Share (%),0.2068,0.2088,0.2461,0.1303,0.208,0.2,0.217425,-0.08712500000000001,-0.4007128895021272
2015,Europe-Africa,2 - Internet,e - Calidad,2 - e - Model Availability,340.3,342.7,348.8,247.7,250.0,305.9,320.45,-72.75,-0.22702449680137307
2015,Europe-Africa,2 - Internet,e - Calidad,2 - e - S/Q Rating (1 to 10 stars),5.9,4.9,6.6,6.9,6.6,6.18,6.0,0.9000000000000004,0.15000000000000005
2015,Europe-Africa,2 - Internet,f - Marketing,2 - f - Free Shipping,1.0,0.0,1.0,1.0,0.0,0.6,0.5,0.5,1.0
2015,Europe-Africa,2 - Internet,g - Imagen,2 - g - Brand Advertising ($000s),16000.0,14000.0,15000.0,14000.0,16000.0,15000.0,15250.0,-1250.0,-0.08196721311475409
2015,Europe-Africa,2 - Internet,g - Imagen,2 - g - Brand Reputation (prior-year image),64.0,71.0,74.0,83.0,91.0,76.6,75.0,8.0,0.10666666666666667
2015,Europe-Africa,2 - Internet,g - Imagen,2 - g - Celebrity Appeal,45.0,130.0,0.0,65.0,255.0,99.0,107.5,-42.5,-0.3953488372093023
2015,Europe-Africa,2 - Internet,g - Imagen,2 - g - Search Engine Advert. ($000s),10000.0,15000.0,13000.0,11000.0,12750.0,12350.0,12687.5,-1687.5,-0.1330049261083744
2015,Europe-Africa,3 - Privada,a - Ingreso,3 - a - Offer Income ($000s),0.0,20570.0,0.0,16940.0,0.0,7502.0,5142.5,11797.5,2.2941176470588234
2015,Europe-Africa,3 - Privada,b - Precio,3 - b - Offer Price (max = $40.00),62.0,55.0,0.0,44.0,0.0,32.2,29.25,14.75,0.5042735042735043
2015,Europe-Africa,3 - Privada,c - Volumen,3 - c - Pairs Offered (000s),94.0,374.0,0.0,385.0,0.0,170.6,117.0,268.0,2.2905982905982905
2015,Europe-Africa,3 - Privada,c - Volumen,3 - c - Pairs Sold (000s),0.0,374.0,0.0,385.0,0.0,151.8,93.5,291.5,3.1176470588235294
2015,Europe-Africa,3 - Privada,d - Cuota,3 - d - Market Share (%),0.0,0.223,0.0,0.229,0.0,0.09040000000000001,0.05575,0.17325000000000002,3.1076233183856505
2015,Europe-Africa,3 - Privada,e - Calidad,3 - e - S/Q Rating (min = 3.0 stars),4.9,4.9,0.0,4.9,0.0,2.9400000000000004,2.45,2.45,1.0
2015,Asia-Pacifc,1 - Mayorista,a - Ingreso,1 - a - Wholesale Income ($000s),95666.0,75660.0,94269.0,145607.0,149854.0,112211.2,103862.25,41744.75,0.4019241832330804
2015,Asia-Pacifc,1 - Mayorista,b - Precio,1 - b - Rebate Offer ($ per pair),4.0,4.0,4.0,4.0,5.0,4.2,4.25,-0.25,-0.058823529411764705
2015,Asia-Pacifc,1 - Mayorista,b - Precio,1 - b - Wholesale Net Price ($ per pair),62.0,60.0,67.0,61.0,62.0,62.4,62.75,-1.75,-0.027888446215139442
2015,Asia-Pacifc,1 - Mayorista,b - Precio,1 - b - Wholesale Price ($ per pair),66.0,64.0,71.0,65.0,67.0,66.6,67.0,-2.0,-0.029850746268656716
2015,Asia-Pacifc,1 - Mayorista,c - Volumen,1 - c -   Gained / Lost (due to stockouts),8.0,-40.0,7.0,12.0,12.0,-0.2,-3.25,15.25,-4.6923076923076925
2015,Asia-Pacifc,1 - Mayorista,c - Volumen,1 - c - Pairs Demanded (000s),1535.0,1301.0,1400.0,2375.0,2405.0,1803.2,1660.25,714.75,0.43050745369673243
2015,Asia-Pacifc,1 - Mayorista,c - Volumen,1 - c - Pairs Sold (000s),1543.0,1261.0,1407.0,2387.0,2417.0,1803.0,1657.0,730.0,0.4405552202776101
2015,Asia-Pacifc,1 - Mayorista,d - Cuota,1 - d - Market Share (%),0.1712,0.1399,0.1561,0.2648,0.2681,0.20002,0.183825,0.08097499999999999,0.440500475996192
2015,Asia-Pacifc,1 - Mayorista,e - Calidad,1 - e - Model Availability,349.2,381.5,348.6,248.9,250.0,315.64000000000004,332.32500000000005,-83.42500000000004,-0.2510343789964644
2015,Asia-Pacifc,1 - Mayorista,e - Calidad,1 - e - S/Q Rating (1 to 10 stars),5.7,4.5,6.6,7.0,6.6,6.08,5.85,1.1500000000000004,0.19658119658119666
2015,Asia-Pacifc,1 - Mayorista,f - Marketing,1 - f - Delivery Time (weeks),2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2015,Asia-Pacifc,1 - Mayorista,f - Marketing,1 - f - Retail Outlets,1411.0,712.0,2980.0,4456.0,3628.0,2637.4,2182.75,2273.25,1.04146145916848
2015,Asia-Pacifc,1 - Mayorista,f - Marketing,1 - f - Retailer Support ($ per outlet),6000.0,6000.0,8000.0,6000.0,7000.0,6600.0,6750.0,-750.0,-0.1111111111111111
2015,Asia-Pacifc,1 - Mayorista,g - Imagen,1 - g - Brand Advertising ($000s),14000.0,5000.0,9000.0,15000.0,16500.0,11900.0,11125.0,3875.0,0.34831460674157305
2015,Asia-Pacifc,1 - Mayorista,g - Imagen,1 - g - Brand Reputation (prior-year image),64.0,71.0,74.0,83.0,91.0,76.6,75.0,8.0,0.10666666666666667
2015,Asia-Pacifc,1 - Mayorista,g - Imagen,1 - g - Celebrity Appeal,100.0,155.0,0.0,60.0,195.0,102.0,112.5,-52.5,-0.4666666666666667
2015,Asia-Pacifc,2 - Internet,a - Ingreso,2 - a - Retail Income ($000s),52700.0,41516.0,39655.0,48776.0,49969.0,46523.2,45960.0,2816.0,0.061270670147954745
2015,Asia-Pacifc,2 - Internet,b - Precio,2 - b - Retail Price ($ per pair),100.0,97.0,103.0,104.0,107.0,102.2,101.75,2.25,0.022113022113022112
2015,Asia-Pacifc,2 - Internet,c - Volumen,2 - c - Online Orders (000s),527.0,428.0,385.0,469.0,467.0,455.2,451.75,17.25,0.03818483674598783
2015,Asia-Pacifc,2 - Internet,c - Volumen,2 - c - Pairs Sold (000s),527.0,428.0,385.0,469.0,467.0,455.2,451.75,17.25,0.03818483674598783
2015,Asia-Pacifc,2 - Internet,d - Cuota,2 - d - Market Share (%),0.2315,0.188,0.1692,0.2061,0.2052,0.2,0.198475,0.007624999999999993,0.038417936767854856
2015,Asia-Pacifc,2 - Internet,e - Calidad,2 - e - Model Availability,349.2,381.5,348.6,248.9,250.0,315.64000000000004,332.32500000000005,-83.42500000000004,-0.2510343789964644
2015,Asia-Pacifc,2 - Internet,e - Calidad,2 - e - S/Q Rating (1 to 10 stars),5.7,4.5,6.6,7.0,6.6,6.08,5.85,1.1500000000000004,0.19658119658119666
2015,Asia-Pacifc,2 - Internet,f - Marketing,2 - f - Free Shipping,1.0,1.0,1.0,1.0,0.0,0.8,0.75,0.25,0.3333333333333333
2015,Asia-Pacifc,2 - Internet,g - Imagen,2 - g - Brand Advertising ($000s),14000.0,5000.0,9000.0,15000.0,16500.0,11900.0,11125.0,3875.0,0.34831460674157305
2015,Asia-Pacifc,2 - Internet,g - Imagen,2 - g - Brand Reputation (prior-year image),64.0,71.0,74.0,83.0,91.0,76.6,75.0,8.0,0.10666666666666667
2015,Asia-Pacifc,2 - Internet,g - Imagen,2 - g - Celebrity Appeal,100.0,155.0,0.0,60.0,195.0,102.0,112.5,-52.5,-0.4666666666666667
2015,Asia-Pacifc,2 - Internet,g - Imagen,2 - g - Search Engine Advert. ($000s),8000.0,5000.0,7500.0,10000.0,11000.0,8300.0,7875.0,2125.0,0.2698412698412698
2015,Asia-Pacifc,3 - Privada,a - Ingreso,3 - a - Offer Income ($000s),30402.0,19084.0,0.0,24854.0,0.0,14868.0,12371.5,12482.5,1.0089722345713938
2015,Asia-Pacifc,3 - Privada,b - Precio,3 - b - Offer Price (max = $40.00),54.0,52.0,0.0,43.0,0.0,29.8,26.5,16.5,0.6226415094339622
2015,Asia-Pacifc,3 - Privada,c - Volumen,3 - c - Pairs Offered (000s),563.0,367.0,0.0,578.0,0.0,301.6,232.5,345.5,1.4860215053763441
2015,Asia-Pacifc,3 - Privada,c - Volumen,3 - c - Pairs Sold (000s),563.0,367.0,0.0,578.0,0.0,301.6,232.5,345.5,1.4860215053763441
2015,Asia-Pacifc,3 - Privada,d - Cuota,3 - d - Market Share (%),0.307,0.2,0.0,0.315,0.0,0.16440000000000002,0.12675,0.18825,1.485207100591716
2015,Asia-Pacifc,3 - Privada,e - Calidad,3 - e - S/Q Rating (min = 3.0 stars),4.9,4.9,0.0,4.9,0.0,2.9400000000000004,2.45,2.45,1.0
2015,Latin America,1 - Mayorista,a - Ingreso,1 - a - Wholesale Income ($000s),107160.0,103090.0,114648.0,179010.0,104148.0,121611.2,107261.5,71748.5,0.6689119581583327
2015,Latin America,1 - Mayorista,b - Precio,1 - b - Rebate Offer ($ per pair),5.0,6.0,4.0,4.0,5.0,4.8,5.0,-1.0,-0.2
2015,Latin America,1 - Mayorista,b - Precio,1 - b - Wholesale Net Price ($ per pair),60.0,65.0,68.0,65.0,66.0,64.8,64.75,0.25,0.003861003861003861
2015,Latin America,1 - Mayorista,b - Precio,1 - b - Wholesale Price ($ per pair),65.0,71.0,72.0,69.0,71.0,69.6,69.75,-0.75,-0.010752688172043012
2015,Latin America,1 - Mayorista,c - Volumen,1 - c -   Gained / Lost (due to stockouts),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2015,Latin America,1 - Mayorista,c - Volumen,1 - c - Pairs Demanded (000s),1786.0,1586.0,1686.0,2754.0,1578.0,1878.0,1659.0,1095.0,0.6600361663652803
2015,Latin America,1 - Mayorista,c - Volumen,1 - c - Pairs Sold (000s),1786.0,1586.0,1686.0,2754.0,1578.0,1878.0,1659.0,1095.0,0.6600361663652803
2015,Latin America,1 - Mayorista,d - Cuota,1 - d - Market Share (%),0.1902,0.1689,0.1796,0.2933,0.1681,0.20002,0.1767,0.11660000000000001,0.659875495189587
2015,Latin America,1 - Mayorista,e - Calidad,1 - e - Model Availability,323.7,377.6,339.0,247.2,250.0,307.5,322.575,-75.375,-0.2336665891653104
2015,Latin America,1 - Mayorista,e - Calidad,1 - e - S/Q Rating (1 to 10 stars),6.1,4.7,6.4,6.9,6.4,6.1,5.9,1.0,0.1694915254237288
2015,Latin America,1 - Mayorista,f - Marketing,1 - f - Delivery Time (weeks),2.0,4.0,2.0,2.0,3.0,2.6,2.75,-0.75,-0.2727272727272727
2015,Latin America,1 - Mayorista,f - Marketing,1 - f - Retail Outlets,1284.0,1220.0,3085.0,5588.0,1508.0,2537.0,1774.25,3813.75,2.1494997886430887
2015,Latin America,1 - Mayorista,f - Marketing,1 - f - Retailer Support ($ per outlet),7000.0,6000.0,8000.0,8000.0,8000.0,7400.0,7250.0,750.0,0.10344827586206896
2015,Latin America,1 - Mayorista,g - Imagen,1 - g - Brand Advertising ($000s),15000.0,14000.0,9000.0,12000.0,13500.0,12700.0,12875.0,-875.0,-0.06796116504854369
2015,Latin America,1 - Mayorista,g - Imagen,1 - g - Brand Reputation (prior-year image),64.0,71.0,74.0,83.0,91.0,76.6,75.0,8.0,0.10666666666666667
2015,Latin America,1 - Mayorista,g - Imagen,1 - g - Celebrity Appeal,65.0,155.0,0.0,40.0,230.0,98.0,112.5,-72.5,-0.6444444444444445
2015,Latin America,2 - Internet,a - Ingreso,2 - a - Retail Income ($000s),50232.0,57469.0,41715.0,41769.0,48257.0,47888.4,49418.25,-7649.25,-0.15478593434611707
2015,Latin America,2 - Internet,b - Precio,2 - b - Retail Price ($ per pair),104.0,101.0,103.0,110.5,107.0,105.1,103.75,6.75,0.06506024096385542
2015,Latin America,2 - Internet,c - Volumen,2 - c - Online Orders (000s),483.0,569.0,405.0,378.0,451.0,457.2,477.0,-99.0,-0.20754716981132076
2015,Latin America,2 - Internet,c - Volumen,2 - c - Pairs Sold (000s),483.0,569.0,405.0,378.0,451.0,457.2,477.0,-99.0,-0.20754716981132076
2015,Latin America,2 - Internet,d - Cuota,2 - d - Market Share (%),0.2113,0.2489,0.1772,0.1654,0.1973,0.20002,0.208675,-0.04327500000000001,-0.20737989696897094
2015,Latin America,2 - Internet,e - Calidad,2 - e - Model Availability,323.7,377.6,339.0,247.2,250.0,307.5,322.575,-75.375,-0.2336665891653104
2015,Latin America,2 - Internet,e - Calidad,2 - e - S/Q Rating (1 to 10 stars),6.1,4.7,6.4,6.9,6.4,6.1,5.9,1.0,0.1694915254237288
2015,Latin America,2 - Internet,f - Marketing,2 - f - Free Shipping,1.0,1.0,1.0,1.0,0.0,0.8,0.75,0.25,0.3333333333333333
2015,Latin America,2 - Internet,g - Imagen,2 - g - Brand Advertising ($000s),15000.0,14000.0,9000.0,12000.0,13500.0,12700.0,12875.0,-875.0,-0.06796116504854369
2015,Latin America,2 - Internet,g - Imagen,2 - g - Brand Reputation (prior-year image),64.0,71.0,74.0,83.0,91.0,76.6,75.0,8.0,0.10666666666666667
2015,Latin America,2 - Internet,g - Imagen,2 - g - Celebrity Appeal,65.0,155.0,0.0,40.0,230.0,98.0,112.5,-72.5,-0.6444444444444445
2015,Latin America,2 - Internet,g - Imagen,2 - g - Search Engine Advert. ($000s),8000.0,6000.0,7750.0,10000.0,10000.0,8350.0,7937.5,2062.5,0.25984251968503935
2015,Latin America,3 - Privada,a - Ingreso,3 - a - Offer Income ($000s),0.0,19818.0,0.0,21957.0,0.0,8355.0,4954.5,17002.5,3.4317287314562517
2015,Latin America,3 - Privada,b - Precio,3 - b - Offer Price (max = $40.00),58.0,54.0,0.0,39.0,0.0,30.2,28.0,11.0,0.39285714285714285
2015,Latin America,3 - Privada,c - Volumen,3 - c - Pairs Offered (000s),94.0,367.0,0.0,563.0,0.0,204.8,115.25,447.75,3.8850325379609543
2015,Latin America,3 - Privada,c - Volumen,3 - c - Pairs Sold (000s),0.0,367.0,0.0,563.0,0.0,186.0,91.75,471.25,5.136239782016348
2015,Latin America,3 - Privada,d - Cuota,3 - d - Market Share (%),0.0,0.2,0.0,0.307,0.0,0.1014,0.05,0.257,5.14
2015,Latin America,3 - Privada,e - Calidad,3 - e - S/Q Rating (min = 3.0 stars),4.9,4.9,0.0,4.9,0.0,2.9400000000000004,2.45,2.45,1.0
