,,,North America,,,,,,,,,,,,,,Europe-Africa,,,,,,,,,,,,,,Asia-Pacifc,,,,,,,,,,,,,,Latin America,,,,,,,,,,,,,,
,,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG,,A,B,C,D,E,F,G,H,I,J,K,L,AVG


, Model Availability, , 151.4, 150.4, 200, 200, 248.8, 0, 0, 0, 0, 0, 0, 0, 190, , 200, 150.3, 200, 151.4, 200, 0, 0, 0, 0, 0, 0, 0, 180, , 200, 150.4, 200, 151.1, 200, 0, 0, 0, 0, 0, 0, 0, 180, , 158, 151.1, 200, 200, 243.9, 0, 0, 0, 0, 0, 0, 0, 191, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Brand Advertising ($000s), , 18000, 10500, 12000, 15000, 11000, 0, 0, 0, 0, 0, 0, 0, 13300, , 18000, 9500, 11000, 10000, 10000, 0, 0, 0, 0, 0, 0, 0, 11700, , 16000, 3000, 9000, 12000, 9000, 0, 0, 0, 0, 0, 0, 0, 9800, , 16000, 5000, 7500, 10000, 8500, 0, 0, 0, 0, 0, 0, 0, 9400, , 
, Rebate Offer ($ per pair), , 5, 4, 0, 6, 5, 0, 0, 0, 0, 0, 0, 0, 4, , 5, 4, 0, 4, 5, 0, 0, 0, 0, 0, 0, 0, 3.6, , 5, 5, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 4, , 5, 3, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 3.6, , 
, Delivery Time (weeks), , 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2, , 2, 2, 2, 3, 3, 0, 0, 0, 0, 0, 0, 0, 2.4, , 2, 2, 3, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2.2, , 2, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 2.8, , 
, Retailer Support ($ per outlet), , 7000, 4000, 4500, 6000, 6000, 0, 0, 0, 0, 0, 0, 0, 5500, , 7000, 4000, 4500, 4000, 6000, 0, 0, 0, 0, 0, 0, 0, 5100, , 6000, 1500, 4000, 4000, 3750, 0, 0, 0, 0, 0, 0, 0, 3850, , 6000, 1500, 2750, 3250, 3750, 0, 0, 0, 0, 0, 0, 0, 3450, , 
, Retail Outlets, , 1000, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 1000, , 1000, 1000, 1000, 1000, 1000, 0, 0, 0, 0, 0, 0, 0, 1000, , 700, 700, 700, 700, 700, 0, 0, 0, 0, 0, 0, 0, 700, , 700, 700, 700, 700, 700, 0, 0, 0, 0, 0, 0, 0, 700, , 
, Celebrity Appeal, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 
, Brand Reputation (prior-year image), , 70, 70, 70, 70, 70, 0, 0, 0, 0, 0, 0, 0, 70, , 70, 70, 70, 70, 70, 0, 0, 0, 0, 0, 0, 0, 70, , 70, 70, 70, 70, 70, 0, 0, 0, 0, 0, 0, 0, 70, , 70, 70, 70, 70, 70, 0, 0, 0, 0, 0, 0, 0, 70, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Pairs Demanded (000s), , 1971, 1434, 1467, 2610, 2583, 0, 0, 0, 0, 0, 0, 0, 2013, , 2273, 1406, 1581, 1358, 1957, 0, 0, 0, 0, 0, 0, 0, 1715, , 1557, 940, 941, 1448, 1635, 0, 0, 0, 0, 0, 0, 0, 1304, , 1720, 866, 1013, 1400, 1746, 0, 0, 0, 0, 0, 0, 0, 1349, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
,   Gained / Lost (due to stockouts), , 4, 22, 22, 39, -87, 0, 0, 0, 0, 0, 0, 0, 0, , -296, 285, -121, 275, -143, 0, 0, 0, 0, 0, 0, 0, 0, , -103, 77, 77, 119, -171, 0, 0, 0, 0, 0, 0, 0, 0, , -423, 432, -303, 491, -197, 0, 0, 0, 0, 0, 0, 0, 0, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Pairs Sold (000s), , 1975, 1456, 1489, 2649, 2496, 0, 0, 0, 0, 0, 0, 0, 2013, , 1977, 1691, 1460, 1633, 1814, 0, 0, 0, 0, 0, 0, 0, 1715, , 1454, 1017, 1018, 1567, 1464, 0, 0, 0, 0, 0, 0, 0, 1304, , 1297, 1298, 710, 1891, 1549, 0, 0, 0, 0, 0, 0, 0, 1349, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, Market Share (%), , 0.1962, 0.1447, 0.1479, 0.2632, 0.248, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.2306, 0.1972, 0.1703, 0.1904, 0.2115, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.223, 0.156, 0.1561, 0.2403, 0.2245, 0, 0, 0, 0, 0, 0, 0, 0.2, , 0.1923, 0.1924, 0.1053, 0.2804, 0.2297, 0, 0, 0, 0, 0, 0, 0, 0.2, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
PRIVATE-LABEL, Offer Price (max = $40.00), , 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47.6, , 37, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49.99, , 0, 0, 49, 32, 31, 0, 0, 0, 0, 0, 0, 0, 46.8, , 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50.35, , 
  SEGMENT, S/Q Rating (min = 3.0 stars), , 0, 0, 3.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, , 3.2, 0, 3.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, , 0, 0, 3.3, 3.2, 3.1, 0, 0, 0, 0, 0, 0, 0, 3, , 0, 0, 3.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, , 
, , , , , , , , , , , , , , , 1, , , , , , , , , , , , , , 0.8, , , , , , , , , , , , , , 1, , , , , , , , , , , , , , 1, , 
, Pairs Offered (000s), , 0, 0, 869, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1110, , 275, 0, 956, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1110, , 0, 0, 478, 318, 384, 0, 0, 0, 0, 0, 0, 0, 1130, , 0, 0, 772, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1130, , 
, Pairs Sold (000s), , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 869, , 275, 0, 835, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1231, , 0, 0, 0, 318, 384, 0, 0, 0, 0, 0, 0, 0, 1180, , 0, 0, 772, 0, 0, 0, 0, 0, 0, 0, 0, 0, 772, , 
, Market Share (%), , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.248, 0, 0.752, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1110, , 0, 0, 0, 0.281, 0.34, 0, 0, 0, 0, 0, 0, 0, 702, , 0, 0, 0.683, 0, 0, 0, 0, 0, 0, 0, 0, 0, 772, , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
